filename,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
Asian Koel_test_XC161198 1.wav,-500.6083679199219,61.435081481933594,-1.498023509979248,-21.868864059448242,21.60221290588379,45.0499153137207,10.166485786437988,-6.564788818359375,-21.107162475585938,20.654054641723633,13.204161643981934,10.340411186218262,-2.275861978530884
Asian Koel_test_XC162828 0.wav,-555.725830078125,28.924991607666016,-37.18903350830078,-54.97571563720703,-21.266563415527344,-7.899647235870361,-2.2390098571777344,-1.2185534238815308,-6.4368696212768555,0.7052243947982788,1.320414662361145,17.75967788696289,13.933566093444824
Asian Koel_test_XC179229 8.wav,-464.2879333496094,47.57554626464844,-6.537442207336426,-27.208984375,40.09132766723633,4.646566867828369,-6.717823505401611,-28.392391204833984,0.2546469569206238,26.962228775024414,-9.200013160705566,-10.221648216247559,-1.3499137163162231
Asian Koel_test_XC182810 0.wav,-304.9719543457031,25.224842071533203,3.3644301891326904,5.612708568572998,18.094478607177734,10.872674942016602,11.131858825683594,4.68478536605835,8.613415718078613,10.378503799438477,9.817816734313965,6.427381992340088,3.9401559829711914
Asian Koel_test_XC196583 0.wav,-718.3592529296875,79.39897155761719,-3.804513931274414,15.518733978271484,-7.5632829666137695,0.180097296833992,-7.86468505859375,-13.661209106445312,-11.706024169921875,-11.39896011352539,-13.047632217407227,-8.273859024047852,-13.619867324829102
Asian Koel_test_XC196584 1.wav,-647.661865234375,84.16851043701172,-10.179254531860352,13.05543327331543,-8.325963020324707,2.5651893615722656,-8.450788497924805,-14.50738525390625,-16.174224853515625,-9.716160774230957,-14.812993049621582,-7.6402082443237305,-18.274808883666992
Asian Koel_test_XC236515 1.wav,-504.8833923339844,52.603187561035156,-37.545467376708984,16.540122985839844,23.791481018066406,23.394990921020508,-14.681198120117188,-12.045188903808594,10.192754745483398,23.565343856811523,-0.717042863368988,-0.3264576196670532,2.523582696914673
Asian Koel_test_XC311271 0.wav,-555.9856567382812,6.496435642242432,-73.15376281738281,-35.77812957763672,29.75874137878418,6.209384441375732,1.740663766860962,-10.385695457458496,3.841872215270996,16.507389068603516,-0.6798043847084045,-8.258004188537598,-7.745450973510742
Asian Koel_test_XC314339 1.wav,-465.1146545410156,49.468841552734375,-65.37462615966797,-16.206979751586914,-7.416609287261963,9.52116584777832,-16.072555541992188,-12.959033012390137,-3.0950961112976074,13.528678894042969,-4.044809818267822,-14.99627685546875,-14.473142623901367
Asian Koel_test_XC327430 1.wav,-587.8510131835938,-13.262401580810547,-29.192323684692383,6.58364725112915,-3.2610490322113037,7.292757987976074,4.652174472808838,-8.538227081298828,-8.679826736450195,4.921951770782471,3.0615389347076416,0.7319692969322205,-1.9075206518173218
Asian Koel_test_XC327430 2.wav,-562.7799682617188,-9.961934089660645,-31.908802032470703,-3.0390024185180664,2.049260139465332,14.88216781616211,6.434571266174316,-12.867199897766113,-9.208895683288574,10.229877471923828,3.7120845317840576,-4.475042819976807,-2.8829681873321533
Asian Koel_test_XC332698 1.wav,-457.0186767578125,82.32671356201172,6.295485973358154,46.053367614746094,-12.358738899230957,15.584904670715332,8.048644065856934,8.700544357299805,0.7877706289291382,10.144721984863281,-4.357309818267822,1.8892773389816284,-6.630613803863525
Asian Koel_test_XC359129 0.wav,-317.8792419433594,80.6847152709961,-41.959678649902344,-21.15252113342285,-1.0047850608825684,12.49746322631836,1.036260724067688,-7.149291515350342,-16.004167556762695,7.568882942199707,8.25367546081543,9.907783508300781,-5.1457200050354
Asian Koel_test_XC365421 0.wav,-446.2017822265625,93.54547882080078,6.98551082611084,-16.66421127319336,38.70432662963867,34.990970611572266,-13.980621337890625,14.151021003723145,3.4384195804595947,25.36056137084961,2.3721365928649902,-7.496720790863037,11.61617374420166
Asian Koel_test_XC369205 0.wav,-486.9793395996094,5.839637756347656,-85.14545440673828,-4.804234981536865,2.9818978309631348,-6.459674835205078,-13.723326683044434,-13.048337936401367,-1.7697465419769287,10.261981964111328,-5.378232955932617,-3.6501336097717285,-0.9125723242759705
Asian Koel_test_XC369205 2.wav,-479.13189697265625,22.703105926513672,-88.75713348388672,2.363999128341675,-10.988748550415039,-11.511665344238281,-10.014076232910156,-17.168251037597656,-5.825509548187256,4.48864221572876,-12.48261833190918,-8.339656829833984,1.1806946992874146
Asian Koel_test_XC412822 1.wav,-510.63177490234375,-2.3115055561065674,-13.064900398254395,-16.842859268188477,10.170685768127441,12.367761611938477,4.382682800292969,-4.403546333312988,-7.591912269592285,4.237180233001709,1.1841169595718384,0.5483356714248657,-3.857987403869629
